"GEOID","NAME","year","totalpopE","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","totalpopM","hhincE","hhincM","earnE","earnM","vachseE","vachseM","allhseE","allhseM","renter30E","renter30M","homeownE","homeownM","vacrateE","vacrateM","hsmoreE","hsmoreM","bamoreE","bamoreM","gradmoreE","gradmoreM","unempE","unempM","hlthinsE","hlthinsM","pubinsE","pubinsM","age17E","age17M","age24E","age24M","age64E","age64M","age65E","age65M","perc_cUnder20minE","perc_cUnder20minM","perc_c20to34minE","perc_c20to34minM","perc_c35to59minE","perc_c35to59minM","perc_cOver60minE","perc_cOver60minM","state","locality","tract","blockgroup"
"510030103001","Block Group 1, Census Tract 103, Albemarle County, Virginia","2019",2050,81.02,11.94,3.66,5.57,4.88,3.8,0,0.59,0,0.59,5.46,3.82,4.98,3.54,381,96875,29717,56742,13292,0,12,801,122,54.6,34,78.3,8.7,0,1.5,100,8.68,64.4,8.94,28.04,8.26,4.6,5.43,98.15,2.96,5.27,2.95,28.05,5.85,1.66,1.79,62.1,16.03,6.59,3.14,40.11,161.78,46.82,188.51,7.33,29.86,5.74,23.95,"51","003","010300","1"
"510030103002","Block Group 2, Census Tract 103, Albemarle County, Virginia","2019",942,75.05,14.99,2.97,4.52,4.99,6.5,0,1.27,0,1.27,4.14,4.37,12.85,13.32,198,59286,18056,44042,10520,39,63,459,111,41.4,52.5,69.5,12.5,8.5,13.6,84.36,19.32,33.69,12.28,16.18,10.82,4.03,6.65,86.84,9.96,3.4,3.23,17.52,8.31,3.08,3.95,54.99,14.69,24.42,8.31,36.52,361.59,35.43,351.1,6.74,67.04,21.3,211.36,"51","003","010300","2"
"510030109021","Block Group 1, Census Tract 109.02, Albemarle County, Virginia","2019",1941,54.46,25.89,6.08,2.91,16.74,3.07,0.15,0.36,0,0.62,3.76,2.45,18.8,5.77,622,46103,11104,6601,5595,25,29,438,80,52.6,14.2,15.7,5.5,5.7,6.5,85.82,26.75,57.09,18.83,35.37,4.96,0.95,1.53,93.92,3.01,4.89,2.33,13.14,3.17,58.17,12.75,24.57,9.52,2.83,1.11,74.53,454.73,21.98,134.25,2.28,14.21,1.21,7.53,"51","003","010902","1"
"511099502012","Block Group 2, Census Tract 9502.01, Louisa County, Virginia","2019",2004,58.13,5.76,34.18,8.28,0.5,0.84,0,0.6,0,0.6,6.44,7.62,0.75,0.69,316,36453,9714,21111,9151,54,51,951,114,71.6,24,58,9.6,5.7,5.3,81.1,7.26,28.55,7.55,13.66,6.14,9.11,6.47,77.69,7.99,21.66,5.89,16.77,4.37,10.88,5.37,46.01,5.59,24.3,4.9,34.84,179.11,22.55,115.9,34.39,176.98,8.23,42.51,"51","109","950201","2"
"511099502013","Block Group 3, Census Tract 9502.01, Louisa County, Virginia","2019",1771,58.5,6.69,20.72,9.66,0.51,0.73,3.27,3.06,0,0.68,6.89,4.67,10.11,6.46,286,34569,11594,25608,6569,84,60,694,98,57.9,18.2,55.6,7.3,12.1,8.5,75.71,6.7,21.36,5.34,11.16,4.74,12.45,7.58,80.69,6.41,25.47,5.55,20.44,5.32,8.19,3.66,51.21,3.63,18.92,4.31,30.8,208.84,22.02,149.4,35.42,240.06,11.76,79.89,"51","109","950201","3"
"511099502011","Block Group 1, Census Tract 9502.01, Louisa County, Virginia","2019",1801,75.51,20.26,17.55,12.65,0,0.67,0,0.67,0,0.67,1.89,2.3,5.05,6.48,352,52981,4010,39830,3836,105,64,811,102,42,15.9,59.5,9.4,12.9,7.7,87.65,23.95,32.64,8.98,16.44,8.17,3.58,6.13,85.17,6.36,26.87,8.83,18.71,3.67,9.33,4.49,53.25,2.27,18.55,4.27,40.8,256.95,16.74,105.56,24.76,156.17,17.7,111.74,"51","109","950201","1"
"510030104012","Block Group 2, Census Tract 104.01, Albemarle County, Virginia","2019",1187,92.5,10.92,4.3,3.64,0,1.01,0,1.01,0,1.01,0,1.01,3.2,4.96,370,88804,43506,42222,20803,115,73,557,91,57.5,47.4,81.9,11.5,20.6,12.7,92.02,31.64,46.79,10.73,23.45,9.06,1.5,2.46,87.78,8.9,13.14,5.88,29.23,6.18,0,1.01,45.16,19.26,23.17,2.99,14.06,128.99,63.86,583.47,18.27,167.4,3.82,35.09,"51","003","010401","2"
"510030104011","Block Group 1, Census Tract 104.01, Albemarle County, Virginia","2019",1864,94.85,3.25,3.27,2.75,0,0.64,0.54,0.8,0,0.64,1.34,2.19,0,0.64,272,84191,12966,44420,8748,90,57,931,106,18.5,19.5,73,4.5,9.7,6,93.71,7.55,54.16,8.16,22.22,6.17,3.06,2.53,92.86,3.7,12.45,4.39,15.56,4.78,7.67,3.97,50.97,4.44,22.85,4.46,18.93,98.03,64.51,333.09,10.32,53.51,6.24,32.45,"51","003","010401","1"
"515400005024","Block Group 4, Census Tract 5.02, Charlottesville city, Virginia","2019",1042,62.19,19.75,23.51,19.88,3.17,4.97,0,1.15,0,1.15,9.12,8.75,2.02,3.19,362,93693,23460,39500,8919,45,50,387,104,37.4,29.5,49.1,21.4,11.6,12.5,100,16.12,61.76,16.12,16.67,9.93,1.98,3.37,87.14,11.34,2.88,5.21,37.33,12.05,3.93,3.6,54.41,25.28,4.32,4.53,54.34,457.35,32.35,272.58,4.07,34.59,9.24,78.1,"51","540","000502","4"
"515400005021","Block Group 1, Census Tract 5.02, Charlottesville city, Virginia","2019",2041,59.97,8.2,26.16,14.59,0,0.59,0,0.59,0,0.59,0.83,1.51,13.03,9.73,447,119073,19274,54418,11484,0,12,739,146,24.3,17.1,39.4,14.4,0,1.6,92.9,8.46,58.63,13.68,18.83,6.5,1.7,2.74,95.54,6.12,13.28,7.81,22.68,6.71,2.11,3.6,57.23,5.69,17.05,8.6,60.44,266.54,17.89,79.55,17.41,77.99,4.26,19.65,"51","540","000502","1"
"510030108002","Block Group 2, Census Tract 108, Albemarle County, Virginia","2019",873,53.84,24.02,17.18,12.54,7.56,7.42,0,1.37,0,1.37,0,1.37,21.42,19.13,313,64674,32581,31911,5999,49,72,481,144,41.7,19.6,16.7,10.9,10.2,14.7,93.26,4.21,52.84,15.06,20.04,9.09,0,2.06,89.35,7.39,4.93,4.45,22.11,14.74,13.29,12.19,51.2,0.06,11.91,9.11,85.25,697.93,5.22,43.16,9.53,78.6,0,2.16,"51","003","010800","2"
"510030108003","Block Group 3, Census Tract 108, Albemarle County, Virginia","2019",1692,60.22,7.69,20.74,15.01,15.01,14.17,1.12,1.88,0,0.71,1.12,1.82,1.77,2.21,366,67484,18484,41709,8081,83,67,790,155,28.2,19.4,38.9,10.4,10.5,8.2,95.06,12.94,42.18,8.87,10.91,5.34,0,1.11,91.19,8.08,16.9,9.31,17.61,5.82,2.25,2.95,69.5,9.89,7.03,3.79,74.16,325.78,17.45,77.21,6.85,30.99,1.54,7.25,"51","003","010800","3"
"510030108001","Block Group 1, Census Tract 108, Albemarle County, Virginia","2019",990,82.42,9.93,10.51,16.06,0,1.21,5.05,6.85,0,1.21,2.02,2.95,0,1.21,340,87656,39169,42235,23923,0,12,361,96,53.9,30.6,50.7,14.3,0,3.3,96.25,20.75,66.6,18.24,28.33,18.18,4.87,8.39,98.08,3.29,18.28,17.64,34.04,11.87,12.12,7.71,47.07,22.03,5.45,4.23,61.84,740.77,38.16,457.11,0,4.47,0,3.16,"51","003","010800","1"
"510030109012","Block Group 2, Census Tract 109.01, Albemarle County, Virginia","2019",804,39.55,25.73,4.35,3.06,46.39,40.27,0.12,3.48,0,1.49,4.35,1.64,5.22,2.64,433,38750,26230,10455,7628,17,27,109,49,70.1,16,16.3,21.5,15.6,23.8,100,89.64,94.32,86.03,50.13,50.89,0.81,1.51,95.27,4.39,2.86,2.8,4.73,3.37,47.14,32.42,48.13,33.15,0,1.49,57.14,773.66,42.86,581.68,0,5.05,0,3.57,"51","003","010901","2"
"510030111002","Block Group 2, Census Tract 111, Albemarle County, Virginia","2019",3053,92.96,2.86,3.21,3.18,0.56,0.68,0,0.39,0.75,1.3,1.47,1.76,1.05,1.53,421,91250,42527,49231,7057,31,48,1138,140,35.9,29.8,80.4,8.8,2.7,4.2,94.72,8.98,64.94,8.27,33.97,6.83,4.18,4.26,98.79,1.45,11.82,6.37,32.46,6.38,4.29,2.8,49.3,5.47,11.4,4.37,15.19,59.79,64.25,249.82,4.78,19.01,15.78,61.91,"51","003","011100","2"
"510030111005","Block Group 5, Census Tract 111, Albemarle County, Virginia","2019",479,96.03,11.2,0,2.51,3.97,6.51,0,2.51,0,2.51,0,2.51,0,2.51,180,65189,18275,51382,29377,142,121,337,105,0,184.6,93.3,16.5,42.1,33.4,93.85,23.58,24,18.33,11.08,10.14,0,6.25,100,2.51,3.97,6.98,27.77,14.34,4.38,6.34,44.26,14.71,17.75,7.86,54.19,1377.07,26.82,681.53,18.99,483.09,0,6.7,"51","003","011100","5"
"510030111004","Block Group 4, Census Tract 111, Albemarle County, Virginia","2019",2707,88.84,7.77,2.07,2.9,4.88,2.47,0,0.44,0.44,0.89,2.33,2.15,1.44,1.68,417,100815,31774,71228,14035,148,122,1339,177,55.2,27,67.6,7.6,11.1,9,98.39,9.04,76.06,10.56,37.36,7.83,0.56,0.97,97.89,1.74,4.58,3.24,30.03,5.32,1.15,1.46,50.17,4.53,17.29,5.76,16.15,61.76,76.52,290.27,6.24,24.21,1.08,4.49,"51","003","011100","4"
"511099501003","Block Group 3, Census Tract 9501, Louisa County, Virginia","2019",1165,77.34,13.32,4.21,5.89,0,1.03,0,1.03,0,1.03,0,1.03,18.45,17.6,332,73088,29853,34357,22892,100,113,558,126,67.6,62.2,85.2,30.4,17.9,19.8,82.62,32.22,22.22,10.01,13.64,6.53,0,2.18,86.01,7.88,24.29,12.83,15.97,8.32,6.01,5.9,49.18,5.74,27.38,9.58,36.48,301.76,17.79,147.37,33.03,273.33,12.7,105.46,"51","109","950100","3"
"511099501004","Block Group 4, Census Tract 9501, Louisa County, Virginia","2019",1402,63.55,24.99,30.31,21.06,3.35,4.24,0,0.86,0,0.86,2.78,4.27,0,0.86,416,69103,12219,29147,9602,51,82,615,157,18.4,29.2,75,3.2,8.3,13.2,87.45,5.67,20.2,8.47,7.94,5.4,5.01,5.78,90.16,7.09,20.47,9.31,16.9,7.44,10.34,6.42,50.93,20.92,17.05,6.02,12.58,88.09,30.52,213.57,39.72,277.75,17.18,120.74,"51","109","950100","4"
"511099503003","Block Group 3, Census Tract 9503, Louisa County, Virginia","2019",3586,88.12,5.92,6.16,4.44,1.34,1.26,0,0.33,0,0.33,2.87,3.17,1.51,2.33,572,89549,11701,46335,11538,22,36,1333,191,29.8,24.7,88.5,2.2,1.7,2.7,89.72,5.28,45.3,5.96,18.69,5.59,5.43,3.8,95.84,3.19,12.19,6.74,23.12,4.49,6.89,3.34,50.03,2.26,18.6,3.68,17.18,50.76,51.11,148.01,25.24,73.65,6.47,19.22,"51","109","950300","3"
"511099503001","Block Group 1, Census Tract 9503, Louisa County, Virginia","2019",3649,83.31,5.81,13.43,6.94,0.16,0.33,0,0.33,0,0.33,2.47,2.46,0.63,0.93,626,55848,12646,30645,9493,557,183,1816,198,21.3,17.7,80.6,6.4,30.7,9.5,84.62,6.83,11.29,4.52,5.9,3.78,10.87,6.78,85.31,4.88,19.1,6.2,20.14,4.76,8.74,4.54,52.37,12.68,17.1,4.91,15.54,44.13,37.92,106.83,31.07,87.29,15.47,43.35,"51","109","950300","1"
"511099505003","Block Group 3, Census Tract 9505, Louisa County, Virginia","2019",1390,82.09,12.57,15.97,8.78,0,0.86,0,0.86,0,0.86,1.94,3.78,0,0.86,331,54167,23519,37961,13917,69,82,679,148,82.5,36.5,83.1,10.4,10.2,11.9,86.97,1.87,13.03,8.41,2.64,3.53,0,2.04,90.65,6.07,29.5,13.61,22.01,8.63,4.53,5.32,45.4,7.73,22.23,6.22,21.2,207.4,25.48,248.58,47.75,465.56,5.57,54.59,"51","109","950500","3"
"511099504001","Block Group 1, Census Tract 9504, Louisa County, Virginia","2019",1482,58.1,10.93,27.13,9.73,0,0.81,0,0.81,0,0.81,8.43,5.99,6.34,8.98,238,58750,32055,38939,10522,30,43,606,104,53.3,30.2,84.4,12.3,5,7,88.81,11.59,36.52,13.01,9.08,4.99,0,1.99,93.99,4.82,24.97,10.49,22.13,5.85,7.29,3.96,46.49,8.81,18.89,6.54,28.42,224.71,43.15,340.65,24.44,192.91,3.99,31.73,"51","109","950400","1"
"511099504002","Block Group 2, Census Tract 9504, Louisa County, Virginia","2019",1712,60.57,9.21,26.4,10.65,1.58,2.32,0,0.7,0,0.7,11.45,5.66,0,0.7,251,60547,27629,31969,13816,70,74,669,112,12.9,35,88.3,9.7,10.5,10.9,72.93,8.09,25.18,7.22,14.29,5.46,3.75,4.16,91.47,5.46,29.91,10.7,21.38,5.07,4.61,3.14,48.83,6.69,23.07,6.18,15.59,100.15,29.49,188.81,45.51,291.05,9.41,60.36,"51","109","950400","2"
"511259501004","Block Group 4, Census Tract 9501, Nelson County, Virginia","2019",1690,78.17,10.02,20.89,13.97,0,0.71,0,0.71,0,0.71,0,0.71,0.95,1.82,448,49565,14701,30881,6746,288,156,988,169,25.4,33.9,82.6,11.6,29.1,15,78.66,9.28,11.55,10.5,1.59,2.83,5.53,4.79,94.79,4.38,15.56,5.99,23.2,5.58,6.09,4.17,51.42,18.76,17.57,5.15,13.62,88.3,19.57,126.95,54.75,354.22,12.06,78.63,"51","125","950100","4"
"510790302002","Block Group 2, Census Tract 302, Greene County, Virginia","2019",1330,94.81,3.93,0,0.9,0,0.9,0,0.9,0,0.9,3.53,3.64,1.65,3.73,349,68148,15838,34482,7603,0,12,534,109,0,21.6,79.2,11.5,0,2.2,86.58,6.74,16.44,8.99,5.16,6.36,0,1.68,93.31,5.43,8.2,6.15,20.83,7.91,1.88,2.26,54.14,3.96,19.77,6.27,23.52,158.82,30.92,208.59,45.56,307.59,0,1.78,"51","079","030200","2"
"510790302001","Block Group 1, Census Tract 302, Greene County, Virginia","2019",3403,82.28,6.23,3.03,3.65,0.53,0.7,0.82,1.38,2.38,2.67,8.67,7.59,2.29,3.01,503,63649,5874,42688,2312,53,62,1585,162,22.8,12.2,68.8,9.8,3.3,3.9,90.21,9.81,37.72,7.65,14.81,6.64,10.28,5.31,92.24,3.67,9.7,6.06,20.72,4.69,13.22,4.28,51.9,5.92,12.55,3.87,34.38,93.03,47.61,128.67,14.24,39.05,3.78,10.83,"51","079","030200","1"
"510790302003","Block Group 3, Census Tract 302, Greene County, Virginia","2019",1901,90.48,8.61,3.05,4.3,4.26,6.17,0,0.63,0,0.63,2.21,3,0,0.63,468,92643,17403,35102,6533,0,12,619,108,10.7,24.4,80.3,9.3,0,1.9,83.1,13.88,13.06,6.93,7.53,4.23,0,1.07,88.27,5.24,6.94,4.73,26.04,8.11,2.68,2.68,51.71,17.49,19.57,4.89,23.24,113.35,44.67,217.46,29.1,141.7,2.99,14.89,"51","079","030200","3"
"515400010002","Block Group 2, Census Tract 10, Charlottesville city, Virginia","2019",929,82.78,18.45,2.15,3.1,6.35,7.47,0,1.29,2.69,4.06,1.94,3.21,4.09,5.02,149,82578,33386,48523,9580,8,13,551,86,41.1,18.9,48.4,13,1.5,2.3,99.57,11.28,89.19,11.14,59.74,10,0,1.89,97.09,4.26,4.31,3.82,17.98,6.57,6.35,4.65,54.36,11.92,17.87,6.48,67.11,574.08,28.76,246.16,4.14,35.55,0,2.26,"51","540","001000","2"
"515400010001","Block Group 1, Census Tract 10, Charlottesville city, Virginia","2019",987,85.82,22.72,1.93,3.02,2.63,3,0,1.22,2.53,4.3,5.37,7.73,1.72,2.61,190,38636,20338,45714,10046,139,86,739,96,50,20.1,17.7,7.8,18.8,11.4,91.71,11.21,65.14,11.32,27.4,7.88,6.75,9.62,97.67,3.13,15.7,9.48,9.12,5.88,6.59,4.06,46,9.97,36.78,8.92,75.06,886.85,23.9,282.52,1.04,12.76,0,3.12,"51","540","001000","1"
"515400010003","Block Group 3, Census Tract 10, Charlottesville city, Virginia","2019",1097,89.97,8.25,3.28,1.82,1.09,1.72,0,1.09,0,1.09,4.1,4.22,1.55,2.35,197,88977,22226,32225,27315,35,43,512,83,20.4,15.4,40.3,10.3,6.8,8.3,97.82,14.36,82.22,16.17,48.85,10.73,4.53,3.58,91.34,6.07,5.01,4.12,17.59,6.24,7.02,4.03,63.26,7.74,12.12,4.54,86.47,578.78,7.79,52.46,5,34.25,0.74,5.06,"51","540","001000","3"
"510650201021","Block Group 1, Census Tract 201.02, Fluvanna County, Virginia","2019",4534,82.64,7.28,9.79,5.54,1.7,1.08,0,0.26,0,0.26,5.47,3.8,0.4,0.66,558,77646,6222,46646,2292,32,36,1750,180,25.1,17.7,89.1,4.2,1.8,2,95.47,9.54,44.49,7.65,23.11,6.77,4.16,4.39,97.46,1.89,7.54,3.43,25.61,4.08,6.73,3.69,50.11,3.81,16.1,3.66,22,49.82,52.11,117.15,23.33,52.82,2.55,6.23,"51","065","020102","1"
"510650201023","Block Group 3, Census Tract 201.02, Fluvanna County, Virginia","2019",3059,79.47,10.63,11.15,6.88,0.42,0.74,0,0.39,0.62,1.11,2.39,2.07,5.95,7.1,763,97845,16605,41831,6035,40,43,1155,167,22.4,39.5,92.4,4.6,3.5,3.7,100,9.04,49.57,10.29,24.13,8.49,1.71,1.35,97.81,2.84,15.43,12.16,28.38,4.67,6.47,5.38,46.55,15.2,16.05,1.07,15.51,54.43,39.78,136.68,30.04,103.49,14.68,50.83,"51","065","020102","3"
"510650201011","Block Group 1, Census Tract 201.01, Fluvanna County, Virginia","2019",3189,82.47,3.22,16.12,6.3,0.66,0.97,0,0.38,0.16,0.45,0.6,1.09,0,0.38,475,80990,12829,41467,8176,133,71,1308,123,33.5,17.4,86.6,5.8,10.2,5.3,93.52,7.7,32.66,6.17,11.51,3.72,1.74,1.98,89.62,5.37,10.88,5.02,22.55,4.28,10.72,4.76,52.96,11.03,12.04,2.47,22.87,61.25,51.11,136.11,19.78,52.9,6.24,17.22,"51","065","020101","1"
"510650201013","Block Group 3, Census Tract 201.01, Fluvanna County, Virginia","2019",667,78.11,8.81,15.74,18.38,0,1.8,0,1.8,0,1.8,0,1.8,6.15,6.68,185,51414,31162,NA,NA,0,12,307,80,25.3,39.6,73,11.4,0,3.9,85.45,33.04,38.86,13.06,19.89,11.15,12.62,18.07,96.85,4.76,21.74,14.17,14.99,6.48,3.6,4.6,49.48,7.94,25.64,8.78,32.93,601.72,50.2,917.17,12.85,234.93,4.02,73.58,"51","065","020101","3"
"511099502022","Block Group 2, Census Tract 9502.02, Louisa County, Virginia","2019",1072,63.06,10.37,27.89,13.3,0,1.12,0.75,1.57,0,1.12,8.3,12.17,0,1.12,312,55417,15157,38269,13143,11,11,442,91,59.2,39,83.5,4.8,2.5,2.4,86.64,14.84,12.32,10.27,5.45,6.63,0,2.47,87.22,7.06,30.88,9.27,24.16,6.32,3.92,5.08,59.05,23.34,11.57,4.61,14.67,148.45,22.67,229.53,41.33,418.24,21.33,216.09,"51","109","950202","2"
"511259502002","Block Group 2, Census Tract 9502, Nelson County, Virginia","2019",1261,82.32,7.41,7.85,6.07,0,0.95,0,0.95,6.82,9.47,0,0.95,3.01,5.36,246,77589,24956,31540,6372,172,133,761,158,0,26.7,84.7,9.9,22.6,16.8,93.97,15.76,35.51,12.54,17.8,9.8,2.24,3.16,92.39,6.07,12.13,7.93,17.45,8.52,2.38,3.93,54,10.22,25.14,8.71,48.13,391.35,17.65,143.49,32.09,260.65,2.14,17.7,"51","125","950200","2"
"511259502003","Block Group 3, Census Tract 9502, Nelson County, Virginia","2019",1556,91.45,1.98,0,0.77,1.22,2.04,0,0.77,0,0.77,4.88,3.69,2.44,3.7,279,91774,36286,43750,15832,52,39,854,148,67.9,54.4,89.9,22.2,6.1,4.4,97.78,5.77,64.55,7.93,38.31,8.52,0,2.19,93.96,5.56,9.7,5.3,8.68,4.43,1.41,2.36,30.08,8.07,53.28,4.84,8.31,85.37,66.97,684.87,22.02,225.49,2.7,27.92,"51","125","950200","3"
"515400005025","Block Group 5, Census Tract 5.02, Charlottesville city, Virginia","2019",367,85.83,10.16,0,3.27,7.63,11.64,0,3.27,0,3.27,0,3.27,6.54,10.05,139,96111,46032,53750,28200,0,12,186,65,0,26.4,51.1,18.6,0,6.5,94.6,22.83,63.31,23.34,36.69,22.3,0,5.15,100,3.27,16.89,10.78,14.99,11.75,9.26,7.59,62.67,19.16,13.08,11.2,72.53,1416.2,23.61,461.26,0,7.28,3.86,75.62,"51","540","000502","5"
"515400005022","Block Group 2, Census Tract 5.02, Charlottesville city, Virginia","2019",1070,78.79,12.42,0,1.12,18.13,20.42,0,1.12,0,1.12,0,1.12,3.08,4.28,340,65521,31459,50011,10060,59,88,518,140,10,13.3,43.1,14.8,11.4,16.7,90.41,39.11,71.46,9.69,55.84,13.11,2.48,2.79,88.88,7.77,11.31,8.77,12.15,8.33,11.87,4.74,64.3,8.55,11.68,8.16,69.07,444.28,20.62,133.49,10.31,66.94,0,1.69,"51","540","000502","2"
"515400005023","Block Group 3, Census Tract 5.02, Charlottesville city, Virginia","2019",945,73.97,14.86,7.3,6.95,8.99,7.1,0,1.27,0,1.27,9.74,8.58,0,1.27,181,85074,44865,43734,18083,47,55,508,100,50.2,39.2,43.8,17.3,9.3,10.7,89.38,12.49,65.93,12.35,45.93,13.03,12.62,13.01,93.76,7.1,8.78,8.62,16.3,7.97,6.98,6.41,67.83,12.34,8.89,7.13,74.75,681.61,10.82,98.89,13.23,121.29,1.2,11.1,"51","540","000502","3"
