"w_geocode","lowwage","midwage","hiwage","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI.Na_workers","Asian_workers","NaH.PI_workers","Multi.racial_workers","lessThanHS","HSnoCollege","SomeColl.Associates","Bach.AdvDeg","w_county","countyName"
510030101003005,6,8,14,28,0.214285714285714,0.285714285714286,0.5,24,1,0,3,0,0,2,10,7,6,"51003","Albemarle"
510030101003007,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101003011,0,2,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030101003023,0,0,5,5,0,0,1,4,0,0,1,0,0,1,2,0,0,"51003","Albemarle"
510030101003037,12,19,14,45,0.266666666666667,0.422222222222222,0.311111111111111,44,0,0,0,1,0,2,7,15,13,"51003","Albemarle"
510030101003042,1,4,10,15,0.0666666666666667,0.266666666666667,0.666666666666667,10,2,0,3,0,0,5,2,0,5,"51003","Albemarle"
510030101003047,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101003056,2,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,"51003","Albemarle"
510030101003063,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101003065,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101003066,0,4,0,4,0,1,0,4,0,0,0,0,0,0,2,1,0,"51003","Albemarle"
510030101003069,4,2,1,7,0.571428571428571,0.285714285714286,0.142857142857143,7,0,0,0,0,0,1,0,2,2,"51003","Albemarle"
510030101003072,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030101003074,1,0,2,3,0.333333333333333,0,0.666666666666667,3,0,0,0,0,0,0,1,2,0,"51003","Albemarle"
510030101003076,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030101003082,3,3,1,7,0.428571428571429,0.428571428571429,0.142857142857143,7,0,0,0,0,0,0,1,3,2,"51003","Albemarle"
510030101003090,4,9,2,15,0.266666666666667,0.6,0.133333333333333,15,0,0,0,0,0,1,2,7,1,"51003","Albemarle"
510030101003091,0,3,3,6,0,0.5,0.5,4,1,0,1,0,0,1,3,1,0,"51003","Albemarle"
510030101003097,7,3,1,11,0.636363636363636,0.272727272727273,0.0909090909090909,7,4,0,0,0,0,3,2,0,5,"51003","Albemarle"
510030102011000,2,2,4,8,0.25,0.25,0.5,8,0,0,0,0,0,1,6,1,0,"51003","Albemarle"
510030102011001,5,3,4,12,0.416666666666667,0.25,0.333333333333333,10,1,0,0,0,1,2,3,2,1,"51003","Albemarle"
510030102011002,3,0,1,4,0.75,0,0.25,4,0,0,0,0,0,1,0,1,2,"51003","Albemarle"
510030102011006,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,1,"51003","Albemarle"
510030102011016,2,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,"51003","Albemarle"
510030102011021,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030102011022,6,3,2,11,0.545454545454545,0.272727272727273,0.181818181818182,10,1,0,0,0,0,1,3,3,2,"51003","Albemarle"
510030102011027,4,5,30,39,0.102564102564103,0.128205128205128,0.769230769230769,27,10,0,1,1,0,4,8,13,7,"51003","Albemarle"
510030102011028,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030102011031,4,14,16,34,0.117647058823529,0.411764705882353,0.470588235294118,34,0,0,0,0,0,1,16,8,6,"51003","Albemarle"
510030102011032,2,5,15,22,0.0909090909090909,0.227272727272727,0.681818181818182,20,2,0,0,0,0,3,8,5,2,"51003","Albemarle"
510030102011038,1,0,5,6,0.166666666666667,0,0.833333333333333,5,1,0,0,0,0,1,1,2,1,"51003","Albemarle"
510030102011046,0,0,6,6,0,0,1,6,0,0,0,0,0,0,2,0,2,"51003","Albemarle"
510030102011049,4,11,143,158,0.0253164556962025,0.069620253164557,0.905063291139241,110,30,1,13,0,4,8,34,40,57,"51003","Albemarle"
510030102011052,7,5,1,13,0.538461538461538,0.384615384615385,0.0769230769230769,7,0,0,6,0,0,1,2,0,4,"51003","Albemarle"
510030102011056,2,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,"51003","Albemarle"
510030102011060,2,5,5,12,0.166666666666667,0.416666666666667,0.416666666666667,6,6,0,0,0,0,0,2,5,2,"51003","Albemarle"
510030102011066,0,4,4,8,0,0.5,0.5,6,2,0,0,0,0,3,3,1,1,"51003","Albemarle"
510030102011068,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030102011073,2,5,12,19,0.105263157894737,0.263157894736842,0.631578947368421,17,2,0,0,0,0,3,3,4,6,"51003","Albemarle"
510030102011080,0,6,5,11,0,0.545454545454545,0.454545454545455,10,0,0,0,0,1,2,4,1,3,"51003","Albemarle"
510030102011082,2,0,4,6,0.333333333333333,0,0.666666666666667,6,0,0,0,0,0,0,1,1,1,"51003","Albemarle"
510030102012000,5,22,3,30,0.166666666666667,0.733333333333333,0.1,20,2,0,6,0,2,4,7,6,4,"51003","Albemarle"
510030102012002,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030102012003,1,1,7,9,0.111111111111111,0.111111111111111,0.777777777777778,9,0,0,0,0,0,1,1,4,2,"51003","Albemarle"
510030102012005,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030102012008,0,2,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030102012012,0,3,9,12,0,0.25,0.75,11,1,0,0,0,0,1,3,5,2,"51003","Albemarle"
510030102012015,11,3,4,18,0.611111111111111,0.166666666666667,0.222222222222222,14,0,0,3,0,1,1,4,2,1,"51003","Albemarle"
510030102012020,0,2,1,3,0,0.666666666666667,0.333333333333333,0,0,0,3,0,0,1,0,0,2,"51003","Albemarle"
510030102012021,3,7,13,23,0.130434782608696,0.304347826086957,0.565217391304348,20,3,0,0,0,0,2,8,5,2,"51003","Albemarle"
510030102012022,13,8,18,39,0.333333333333333,0.205128205128205,0.461538461538462,34,1,0,4,0,0,2,11,10,11,"51003","Albemarle"
510030102012025,1,6,12,19,0.0526315789473684,0.315789473684211,0.631578947368421,17,0,0,1,0,1,2,9,4,4,"51003","Albemarle"
510030102012028,4,0,0,4,1,0,0,4,0,0,0,0,0,0,1,1,2,"51003","Albemarle"
510030102012029,3,5,11,19,0.157894736842105,0.263157894736842,0.578947368421053,9,8,0,1,0,1,0,4,6,4,"51003","Albemarle"
510030102012030,5,3,0,8,0.625,0.375,0,8,0,0,0,0,0,0,1,1,1,"51003","Albemarle"
510030102012031,70,114,103,287,0.24390243902439,0.397212543554007,0.358885017421603,165,100,0,13,2,7,28,58,70,45,"51003","Albemarle"
510030102021002,6,10,3,19,0.315789473684211,0.526315789473684,0.157894736842105,16,2,0,0,0,1,4,3,2,4,"51003","Albemarle"
510030102021007,3,4,6,13,0.230769230769231,0.307692307692308,0.461538461538462,10,3,0,0,0,0,3,2,2,5,"51003","Albemarle"
510030102021012,2,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,0,"51003","Albemarle"
510030102021017,0,0,3,3,0,0,1,3,0,0,0,0,0,0,1,0,2,"51003","Albemarle"
510030102021018,0,1,3,4,0,0.25,0.75,4,0,0,0,0,0,0,0,2,2,"51003","Albemarle"
510030102021020,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030102021024,3,1,1,5,0.6,0.2,0.2,2,2,0,0,0,1,0,2,1,1,"51003","Albemarle"
510030102021028,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030102021029,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030102021035,4,2,4,10,0.4,0.2,0.4,10,0,0,0,0,0,3,1,3,2,"51003","Albemarle"
510030102021036,0,2,0,2,0,1,0,2,0,0,0,0,0,0,2,0,0,"51003","Albemarle"
510030102021037,3,4,0,7,0.428571428571429,0.571428571428571,0,7,0,0,0,0,0,0,1,0,4,"51003","Albemarle"
510030102021039,0,3,0,3,0,1,0,3,0,0,0,0,0,1,0,1,0,"51003","Albemarle"
510030102021040,2,2,0,4,0.5,0.5,0,4,0,0,0,0,0,0,1,1,2,"51003","Albemarle"
510030102021042,2,1,5,8,0.25,0.125,0.625,7,1,0,0,0,0,0,3,1,2,"51003","Albemarle"
510030102021043,5,8,14,27,0.185185185185185,0.296296296296296,0.518518518518518,21,2,0,2,2,0,5,2,12,4,"51003","Albemarle"
510030102022000,11,38,21,70,0.157142857142857,0.542857142857143,0.3,67,1,1,0,0,1,7,15,21,10,"51003","Albemarle"
510030102022002,14,38,67,119,0.117647058823529,0.319327731092437,0.563025210084034,95,18,1,2,0,3,13,30,36,24,"51003","Albemarle"
510030102022003,0,2,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030102022013,7,15,18,40,0.175,0.375,0.45,33,7,0,0,0,0,5,9,10,7,"51003","Albemarle"
510030102022016,2,3,2,7,0.285714285714286,0.428571428571429,0.285714285714286,7,0,0,0,0,0,0,0,4,1,"51003","Albemarle"
510030102022020,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030102022022,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030103001000,21,15,5,41,0.51219512195122,0.365853658536585,0.121951219512195,36,4,0,1,0,0,0,3,10,8,"51003","Albemarle"
510030103001005,0,0,2,2,0,0,1,0,0,0,2,0,0,0,1,0,1,"51003","Albemarle"
510030103001007,0,1,1,2,0,0.5,0.5,2,0,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030103001010,42,46,28,116,0.362068965517241,0.396551724137931,0.241379310344828,88,22,0,5,0,1,9,21,24,31,"51003","Albemarle"
510030103001011,2,4,2,8,0.25,0.5,0.25,7,1,0,0,0,0,0,2,3,1,"51003","Albemarle"
510030103001012,0,2,3,5,0,0.4,0.6,5,0,0,0,0,0,1,1,0,3,"51003","Albemarle"
510030103001013,0,5,7,12,0,0.416666666666667,0.583333333333333,11,1,0,0,0,0,2,2,5,2,"51003","Albemarle"
510030103001014,83,64,38,185,0.448648648648649,0.345945945945946,0.205405405405405,147,33,1,4,0,0,20,32,46,35,"51003","Albemarle"
510030103001020,57,20,4,81,0.703703703703704,0.246913580246914,0.0493827160493827,75,3,0,2,0,1,6,10,10,11,"51003","Albemarle"
510030103002004,8,31,52,91,0.0879120879120879,0.340659340659341,0.571428571428571,74,15,0,1,0,1,11,19,20,24,"51003","Albemarle"
510030103002009,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030103002010,0,1,2,3,0,0.333333333333333,0.666666666666667,2,1,0,0,0,0,0,1,0,2,"51003","Albemarle"
510030103002011,2,19,8,29,0.0689655172413793,0.655172413793103,0.275862068965517,26,3,0,0,0,0,5,6,10,4,"51003","Albemarle"
510030103002012,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,"51003","Albemarle"
510030103002016,1,1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,3,0,0,0,0,0,0,0,2,0,"51003","Albemarle"
510030103003001,14,84,226,324,0.0432098765432099,0.259259259259259,0.697530864197531,274,28,1,17,0,4,26,57,75,126,"51003","Albemarle"
510030103003009,110,358,1304,1772,0.0620767494356659,0.202031602708804,0.735891647855531,1499,164,5,83,0,21,124,352,417,566,"51003","Albemarle"
510030103003011,2,1,2,5,0.4,0.2,0.4,4,0,0,0,0,1,0,1,0,2,"51003","Albemarle"
510030103003017,156,198,207,561,0.27807486631016,0.352941176470588,0.368983957219251,428,90,0,34,0,9,45,112,139,103,"51003","Albemarle"
510030103003022,158,142,43,343,0.46064139941691,0.41399416909621,0.12536443148688,246,72,0,14,0,11,22,52,57,28,"51003","Albemarle"
510030103004002,0,1,7,8,0,0.125,0.875,8,0,0,0,0,0,1,1,2,3,"51003","Albemarle"
510030103004003,3,25,5,33,0.0909090909090909,0.757575757575758,0.151515151515152,29,2,0,2,0,0,2,4,12,11,"51003","Albemarle"
510030103004008,3,5,16,24,0.125,0.208333333333333,0.666666666666667,22,2,0,0,0,0,1,6,3,7,"51003","Albemarle"
510030103004009,8,12,6,26,0.307692307692308,0.461538461538462,0.230769230769231,20,6,0,0,0,0,4,10,10,1,"51003","Albemarle"
510030103004014,1,1,0,2,0.5,0.5,0,1,0,0,1,0,0,0,1,0,1,"51003","Albemarle"
510030103004017,1,5,1,7,0.142857142857143,0.714285714285714,0.142857142857143,4,2,0,0,0,1,3,2,2,0,"51003","Albemarle"
510030103004018,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,1,0,"51003","Albemarle"
510030103004019,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030103005004,1,5,7,13,0.0769230769230769,0.384615384615385,0.538461538461538,11,2,0,0,0,0,0,5,4,4,"51003","Albemarle"
510030103005007,0,0,4,4,0,0,1,3,0,0,1,0,0,0,0,1,3,"51003","Albemarle"
510030103005008,2,12,0,14,0.142857142857143,0.857142857142857,0,8,1,0,5,0,0,4,4,1,3,"51003","Albemarle"
510030103005014,0,1,1,2,0,0.5,0.5,1,0,0,1,0,0,0,1,1,0,"51003","Albemarle"
510030103005016,2,0,2,4,0.5,0,0.5,4,0,0,0,0,0,1,2,1,0,"51003","Albemarle"
510030103005017,11,5,10,26,0.423076923076923,0.192307692307692,0.384615384615385,20,3,0,3,0,0,3,2,6,7,"51003","Albemarle"
510030103005020,1,10,2,13,0.0769230769230769,0.769230769230769,0.153846153846154,13,0,0,0,0,0,4,3,3,3,"51003","Albemarle"
510030104011012,6,8,4,18,0.333333333333333,0.444444444444444,0.222222222222222,16,1,0,0,0,1,2,2,3,2,"51003","Albemarle"
510030104011019,11,5,3,19,0.578947368421053,0.263157894736842,0.157894736842105,16,1,0,2,0,0,2,3,6,4,"51003","Albemarle"
510030104011022,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030104011028,4,16,8,28,0.142857142857143,0.571428571428571,0.285714285714286,24,4,0,0,0,0,4,6,10,1,"51003","Albemarle"
510030104011031,0,3,1,4,0,0.75,0.25,4,0,0,0,0,0,0,1,3,0,"51003","Albemarle"
510030104011032,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030104011036,1,2,6,9,0.111111111111111,0.222222222222222,0.666666666666667,9,0,0,0,0,0,2,1,1,4,"51003","Albemarle"
510030104011041,1,1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,2,1,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030104011045,3,0,1,4,0.75,0,0.25,4,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030104011047,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030104011049,0,3,3,6,0,0.5,0.5,4,2,0,0,0,0,1,1,3,1,"51003","Albemarle"
510030104011052,0,0,2,2,0,0,1,2,0,0,0,0,0,0,1,1,0,"51003","Albemarle"
510030104011055,5,0,0,5,1,0,0,4,1,0,0,0,0,1,1,1,2,"51003","Albemarle"
510030104011056,4,1,0,5,0.8,0.2,0,4,1,0,0,0,0,1,1,2,0,"51003","Albemarle"
510030104011059,2,1,2,5,0.4,0.2,0.4,4,0,0,0,0,1,0,4,1,0,"51003","Albemarle"
510030104011060,3,4,2,9,0.333333333333333,0.444444444444444,0.222222222222222,6,3,0,0,0,0,0,0,5,1,"51003","Albemarle"
510030104011061,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030104011069,2,3,1,6,0.333333333333333,0.5,0.166666666666667,6,0,0,0,0,0,0,0,3,1,"51003","Albemarle"
510030104011071,11,3,6,20,0.55,0.15,0.3,15,4,0,1,0,0,5,5,3,7,"51003","Albemarle"
510030104011074,1,0,2,3,0.333333333333333,0,0.666666666666667,3,0,0,0,0,0,0,2,0,0,"51003","Albemarle"
510030104011075,3,2,3,8,0.375,0.25,0.375,8,0,0,0,0,0,2,2,1,3,"51003","Albemarle"
510030104011082,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,1,"51003","Albemarle"
510030104011084,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030104011088,0,8,4,12,0,0.666666666666667,0.333333333333333,12,0,0,0,0,0,4,1,4,3,"51003","Albemarle"
510030104011091,0,7,10,17,0,0.411764705882353,0.588235294117647,14,3,0,0,0,0,1,3,7,5,"51003","Albemarle"
510030104011094,0,0,2,2,0,0,1,2,0,0,0,0,0,0,2,0,0,"51003","Albemarle"
510030104012004,1,7,14,22,0.0454545454545455,0.318181818181818,0.636363636363636,17,4,0,1,0,0,4,6,7,3,"51003","Albemarle"
510030104012016,3,0,0,3,1,0,0,2,1,0,0,0,0,1,1,1,0,"51003","Albemarle"
510030104012026,1,4,4,9,0.111111111111111,0.444444444444444,0.444444444444444,8,0,0,1,0,0,0,1,5,2,"51003","Albemarle"
510030104012029,1,2,3,6,0.166666666666667,0.333333333333333,0.5,5,1,0,0,0,0,0,1,2,0,"51003","Albemarle"
510030104012033,9,3,5,17,0.529411764705882,0.176470588235294,0.294117647058824,17,0,0,0,0,0,2,1,3,5,"51003","Albemarle"
510030104012042,1,1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,2,0,0,0,0,0,1,1,1,"51003","Albemarle"
510030104012044,1,3,2,6,0.166666666666667,0.5,0.333333333333333,4,1,0,1,0,0,0,3,1,2,"51003","Albemarle"
510030104012052,20,8,8,36,0.555555555555556,0.222222222222222,0.222222222222222,32,1,0,0,0,3,3,7,9,7,"51003","Albemarle"
510030104012055,18,2,1,21,0.857142857142857,0.0952380952380952,0.0476190476190476,14,5,0,1,0,1,2,2,8,6,"51003","Albemarle"
510030104012058,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"51003","Albemarle"
510030104012083,0,0,10,10,0,0,1,9,1,0,0,0,0,0,3,4,3,"51003","Albemarle"
510030104012089,0,2,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,"51003","Albemarle"
510030104013005,4,3,0,7,0.571428571428571,0.428571428571429,0,7,0,0,0,0,0,1,2,3,1,"51003","Albemarle"
510030104013006,1,2,0,3,0.333333333333333,0.666666666666667,0,3,0,0,0,0,0,0,1,2,0,"51003","Albemarle"
510030104013013,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030104013018,1,3,3,7,0.142857142857143,0.428571428571429,0.428571428571429,5,1,0,1,0,0,1,3,0,1,"51003","Albemarle"
510030104013030,12,35,34,81,0.148148148148148,0.432098765432099,0.419753086419753,69,9,0,2,0,1,7,22,13,17,"51003","Albemarle"
510030104013034,1,0,1,2,0.5,0,0.5,2,0,0,0,0,0,0,1,0,1,"51003","Albemarle"
510030104013042,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,"51003","Albemarle"
510030104013046,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
510030104013054,0,4,4,8,0,0.5,0.5,6,2,0,0,0,0,2,0,3,0,"51003","Albemarle"
510030104013059,24,27,29,80,0.3,0.3375,0.3625,62,10,0,6,0,2,9,10,23,17,"51003","Albemarle"
510030104013066,5,3,0,8,0.625,0.375,0,7,0,0,1,0,0,2,2,1,3,"51003","Albemarle"
510030104013067,4,0,0,4,1,0,0,4,0,0,0,0,0,0,0,2,2,"51003","Albemarle"
510030104013072,5,0,1,6,0.833333333333333,0,0.166666666666667,1,5,0,0,0,0,1,1,3,1,"51003","Albemarle"
510030104013075,2,2,0,4,0.5,0.5,0,4,0,0,0,0,0,0,2,0,1,"51003","Albemarle"
510030104013086,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,"51003","Albemarle"
510030104013092,3,7,1,11,0.272727272727273,0.636363636363636,0.0909090909090909,10,1,0,0,0,0,0,4,2,1,"51003","Albemarle"
510030104013095,20,62,144,226,0.0884955752212389,0.274336283185841,0.63716814159292,185,34,0,7,0,0,19,63,65,47,"51003","Albemarle"
510030104013097,47,75,172,294,0.159863945578231,0.255102040816327,0.585034013605442,208,74,2,6,0,4,30,76,79,55,"51003","Albemarle"
510030104013115,1,3,1,5,0.2,0.6,0.2,3,0,0,2,0,0,0,0,0,2,"51003","Albemarle"
510030104013120,0,5,1,6,0,0.833333333333333,0.166666666666667,6,0,0,0,0,0,0,3,2,1,"51003","Albemarle"
510030104013124,2,2,5,9,0.222222222222222,0.222222222222222,0.555555555555556,9,0,0,0,0,0,0,2,2,5,"51003","Albemarle"
510030104021004,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030104021005,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,"51003","Albemarle"
510030104021007,9,38,22,69,0.130434782608696,0.550724637681159,0.318840579710145,61,4,0,2,0,2,9,20,16,19,"51003","Albemarle"
510030104021008,9,32,31,72,0.125,0.444444444444444,0.430555555555556,63,6,0,0,0,3,8,20,20,13,"51003","Albemarle"
510030104021010,1,9,3,13,0.0769230769230769,0.692307692307692,0.230769230769231,12,0,1,0,0,0,2,4,0,2,"51003","Albemarle"
510030104021019,11,23,89,123,0.0894308943089431,0.186991869918699,0.723577235772358,108,14,0,0,0,1,3,27,42,37,"51003","Albemarle"
510030104021020,27,39,24,90,0.3,0.433333333333333,0.266666666666667,56,33,0,0,0,1,17,24,17,17,"51003","Albemarle"
510030104021031,0,5,2,7,0,0.714285714285714,0.285714285714286,4,3,0,0,0,0,0,4,1,1,"51003","Albemarle"
510030104021039,1,2,0,3,0.333333333333333,0.666666666666667,0,3,0,0,0,0,0,0,2,1,0,"51003","Albemarle"
510030104021043,1,6,2,9,0.111111111111111,0.666666666666667,0.222222222222222,9,0,0,0,0,0,0,4,2,0,"51003","Albemarle"
510030104021045,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,"51003","Albemarle"
