"w_geocode","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","residents","resid_jobs_ratio","w_county","w_tract","w_blkgr","countyName","blocktype"
510010901002022,2,1,0,3,0.666666666666667,0.333333333333333,0,3,0,0,0,0,0,0,0,3,0,23,7.66666666666667,"51001","51001090100","510010901002","Accomack","residential"
510010901002025,7,28,8,43,0.162790697674419,0.651162790697674,0.186046511627907,37,5,0,0,0,1,8,15,10,4,37,0.86046511627907,"51001","51001090100","510010901002","Accomack","mixed"
510010901002031,6,7,2,15,0.4,0.466666666666667,0.133333333333333,13,2,0,0,0,0,3,4,0,3,13,0.866666666666667,"51001","51001090100","510010901002","Accomack","mixed"
510010901002035,0,2,1,3,0,0.666666666666667,0.333333333333333,3,0,0,0,0,0,1,1,0,1,6,2,"51001","51001090100","510010901002","Accomack","residential"
510010901002039,4,0,0,4,1,0,0,4,0,0,0,0,0,2,0,1,1,14,3.5,"51001","51001090100","510010901002","Accomack","residential"
510010901003000,93,55,7,155,0.6,0.354838709677419,0.0451612903225806,107,40,2,5,0,1,20,41,34,12,89,0.574193548387097,"51001","51001090100","510010901003","Accomack","mixed"
510010901003011,2,0,2,4,0.5,0,0.5,4,0,0,0,0,0,1,1,0,2,NA,NA,"51001","51001090100","510010901003","Accomack",NA
510010901003030,5,3,4,12,0.416666666666667,0.25,0.333333333333333,12,0,0,0,0,0,2,6,1,1,115,9.58333333333333,"51001","51001090100","510010901003","Accomack","residential"
510010901003036,0,2,0,2,0,1,0,1,1,0,0,0,0,0,2,0,0,22,11,"51001","51001090100","510010901003","Accomack","residential"
510010901004007,28,28,4,60,0.466666666666667,0.466666666666667,0.0666666666666667,53,5,0,1,0,1,8,12,10,3,1,0.0166666666666667,"51001","51001090100","510010901004","Accomack","employment"
510010901004008,5,0,1,6,0.833333333333333,0,0.166666666666667,5,1,0,0,0,0,0,1,1,2,NA,NA,"51001","51001090100","510010901004","Accomack",NA
510010901004013,22,15,2,39,0.564102564102564,0.384615384615385,0.0512820512820513,21,15,0,2,0,1,7,9,10,6,6,0.153846153846154,"51001","51001090100","510010901004","Accomack","mixed"
510010901004015,3,2,0,5,0.6,0.4,0,0,5,0,0,0,0,3,0,2,0,20,4,"51001","51001090100","510010901004","Accomack","residential"
510010901004019,0,0,2,2,0,0,1,2,0,0,0,0,0,1,0,0,1,12,6,"51001","51001090100","510010901004","Accomack","residential"
510010901004048,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,3,"51001","51001090100","510010901004","Accomack","residential"
510010901004057,2,7,0,9,0.222222222222222,0.777777777777778,0,4,5,0,0,0,0,3,0,6,0,5,0.555555555555556,"51001","51001090100","510010901004","Accomack","mixed"
510010901004058,2,3,0,5,0.4,0.6,0,5,0,0,0,0,0,0,1,1,0,NA,NA,"51001","51001090100","510010901004","Accomack",NA
510010901004074,1,7,5,13,0.0769230769230769,0.538461538461538,0.384615384615385,13,0,0,0,0,0,2,3,4,1,10,0.769230769230769,"51001","51001090100","510010901004","Accomack","mixed"
510010902001000,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,3,"51001","51001090200","510010902001","Accomack","residential"
510010902001005,1,12,1,14,0.0714285714285714,0.857142857142857,0.0714285714285714,11,2,1,0,0,0,5,0,5,1,3,0.214285714285714,"51001","51001090200","510010902001","Accomack","mixed"
510010902001006,27,30,5,62,0.435483870967742,0.483870967741935,0.0806451612903226,32,27,1,1,0,1,6,13,10,5,NA,NA,"51001","51001090200","510010902001","Accomack",NA
510010902001019,0,0,11,11,0,0,1,9,2,0,0,0,0,1,3,3,3,NA,NA,"51001","51001090200","510010902001","Accomack",NA
510010902001032,3,7,1,11,0.272727272727273,0.636363636363636,0.0909090909090909,8,3,0,0,0,0,1,3,3,0,16,1.45454545454545,"51001","51001090200","510010902001","Accomack","mixed"
510010902001036,0,3,0,3,0,1,0,3,0,0,0,0,0,1,2,0,0,NA,NA,"51001","51001090200","510010902001","Accomack",NA
510010902001045,0,1,2,3,0,0.333333333333333,0.666666666666667,3,0,0,0,0,0,1,0,0,0,2,0.666666666666667,"51001","51001090200","510010902001","Accomack","mixed"
510010902001057,1,2,0,3,0.333333333333333,0.666666666666667,0,1,2,0,0,0,0,1,0,1,1,71,23.6666666666667,"51001","51001090200","510010902001","Accomack","residential"
510010902001058,1,14,19,34,0.0294117647058824,0.411764705882353,0.558823529411765,27,6,0,1,0,0,4,13,8,7,NA,NA,"51001","51001090200","510010902001","Accomack",NA
510010902001059,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,30,30,"51001","51001090200","510010902001","Accomack","residential"
510010902001064,5,0,1,6,0.833333333333333,0,0.166666666666667,4,2,0,0,0,0,0,3,3,0,NA,NA,"51001","51001090200","510010902001","Accomack",NA
510010902001094,10,11,3,24,0.416666666666667,0.458333333333333,0.125,13,9,0,1,0,1,3,5,6,4,22,0.916666666666667,"51001","51001090200","510010902001","Accomack","mixed"
510010902001097,0,4,1,5,0,0.8,0.2,5,0,0,0,0,0,1,2,1,1,7,1.4,"51001","51001090200","510010902001","Accomack","mixed"
510010902001102,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,14,14,"51001","51001090200","510010902001","Accomack","residential"
510010902002003,6,3,0,9,0.666666666666667,0.333333333333333,0,7,2,0,0,0,0,1,1,1,2,1,0.111111111111111,"51001","51001090200","510010902002","Accomack","mixed"
510010902002010,0,0,4,4,0,0,1,2,2,0,0,0,0,0,2,0,2,63,15.75,"51001","51001090200","510010902002","Accomack","residential"
510010902002019,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,11,11,"51001","51001090200","510010902002","Accomack","residential"
510010902002039,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,14,14,"51001","51001090200","510010902002","Accomack","residential"
510010902002056,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,53,53,"51001","51001090200","510010902002","Accomack","residential"
510010902002066,14,23,11,48,0.291666666666667,0.479166666666667,0.229166666666667,41,7,0,0,0,0,8,11,12,8,29,0.604166666666667,"51001","51001090200","510010902002","Accomack","mixed"
510010902002080,4,1,2,7,0.571428571428571,0.142857142857143,0.285714285714286,5,2,0,0,0,0,2,2,2,1,7,1,"51001","51001090200","510010902002","Accomack","mixed"
510010902002104,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,15,15,"51001","51001090200","510010902002","Accomack","residential"
510010902002107,3,1,42,46,0.0652173913043478,0.0217391304347826,0.91304347826087,37,4,0,4,0,1,3,9,15,15,63,1.3695652173913,"51001","51001090200","510010902002","Accomack","mixed"
510010902002125,7,50,19,76,0.0921052631578947,0.657894736842105,0.25,56,17,1,0,0,2,7,19,27,11,11,0.144736842105263,"51001","51001090200","510010902002","Accomack","mixed"
510010902002130,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,5,5,"51001","51001090200","510010902002","Accomack","residential"
510010902002138,2,6,5,13,0.153846153846154,0.461538461538462,0.384615384615385,12,1,0,0,0,0,2,2,4,2,7,0.538461538461538,"51001","51001090200","510010902002","Accomack","mixed"
510010902002143,10,22,11,43,0.232558139534884,0.511627906976744,0.255813953488372,38,5,0,0,0,0,4,17,9,3,84,1.95348837209302,"51001","51001090200","510010902002","Accomack","mixed"
510010902002163,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,5,5,"51001","51001090200","510010902002","Accomack","residential"
510010902002174,4,1,5,10,0.4,0.1,0.5,4,6,0,0,0,0,0,1,2,3,20,2,"51001","51001090200","510010902002","Accomack","residential"
510010902002183,5,6,61,72,0.0694444444444444,0.0833333333333333,0.847222222222222,67,4,0,0,0,1,5,19,29,15,9,0.125,"51001","51001090200","510010902002","Accomack","mixed"
510010902002196,1,29,14,44,0.0227272727272727,0.659090909090909,0.318181818181818,35,6,0,2,0,1,2,7,8,12,3,0.0681818181818182,"51001","51001090200","510010902002","Accomack","mixed"
510010902002200,2,3,0,5,0.4,0.6,0,5,0,0,0,0,0,1,1,0,0,5,1,"51001","51001090200","510010902002","Accomack","mixed"
510010902002201,5,1,3,9,0.555555555555556,0.111111111111111,0.333333333333333,6,3,0,0,0,0,2,5,1,0,NA,NA,"51001","51001090200","510010902002","Accomack",NA
510010902002202,3,5,1,9,0.333333333333333,0.555555555555556,0.111111111111111,3,4,0,1,0,1,2,1,2,2,3,0.333333333333333,"51001","51001090200","510010902002","Accomack","mixed"
510010902002206,11,7,10,28,0.392857142857143,0.25,0.357142857142857,23,4,1,0,0,0,5,10,7,4,26,0.928571428571429,"51001","51001090200","510010902002","Accomack","mixed"
510010902002212,1,8,69,78,0.0128205128205128,0.102564102564103,0.884615384615385,63,9,0,5,0,1,9,19,16,23,12,0.153846153846154,"51001","51001090200","510010902002","Accomack","mixed"
510010902002225,6,24,15,45,0.133333333333333,0.533333333333333,0.333333333333333,37,3,0,2,0,3,5,15,11,10,6,0.133333333333333,"51001","51001090200","510010902002","Accomack","mixed"
510010902002234,0,5,2,7,0,0.714285714285714,0.285714285714286,7,0,0,0,0,0,2,0,2,1,1,0.142857142857143,"51001","51001090200","510010902002","Accomack","mixed"
510010902002264,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,"51001","51001090200","510010902002","Accomack","residential"
510010902003002,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,20,20,"51001","51001090200","510010902003","Accomack","residential"
510010902003011,25,16,3,44,0.568181818181818,0.363636363636364,0.0681818181818182,29,14,0,1,0,0,6,6,10,2,5,0.113636363636364,"51001","51001090200","510010902003","Accomack","mixed"
510010902003018,9,7,1,17,0.529411764705882,0.411764705882353,0.0588235294117647,9,6,0,2,0,0,2,2,5,1,18,1.05882352941176,"51001","51001090200","510010902003","Accomack","mixed"
510010902003031,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,13,13,"51001","51001090200","510010902003","Accomack","residential"
510010902003035,15,6,4,25,0.6,0.24,0.16,19,6,0,0,0,0,2,3,5,1,10,0.4,"51001","51001090200","510010902003","Accomack","mixed"
510010902003041,5,10,10,25,0.2,0.4,0.4,19,4,0,2,0,0,6,8,4,3,23,0.92,"51001","51001090200","510010902003","Accomack","mixed"
510010902003044,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,7,3.5,"51001","51001090200","510010902003","Accomack","residential"
510010902003050,0,2,4,6,0,0.333333333333333,0.666666666666667,2,3,0,0,0,1,0,3,2,1,4,0.666666666666667,"51001","51001090200","510010902003","Accomack","mixed"
510010902003067,176,998,611,1785,0.0985994397759104,0.559103641456583,0.342296918767507,668,1048,4,34,1,30,309,424,399,354,NA,NA,"51001","51001090200","510010902003","Accomack",NA
510010902003071,13,16,266,295,0.0440677966101695,0.0542372881355932,0.901694915254237,272,21,0,1,0,1,20,69,87,89,26,0.088135593220339,"51001","51001090200","510010902003","Accomack","mixed"
510010902003081,0,0,2,2,0,0,1,2,0,0,0,0,0,1,1,0,0,NA,NA,"51001","51001090200","510010902003","Accomack",NA
510010902003085,0,1,9,10,0,0.1,0.9,8,2,0,0,0,0,1,1,4,4,72,7.2,"51001","51001090200","510010902003","Accomack","residential"
510010902003087,0,5,9,14,0,0.357142857142857,0.642857142857143,12,0,2,0,0,0,5,3,5,0,3,0.214285714285714,"51001","51001090200","510010902003","Accomack","mixed"
510010902003088,4,2,3,9,0.444444444444444,0.222222222222222,0.333333333333333,6,3,0,0,0,0,2,3,1,2,65,7.22222222222222,"51001","51001090200","510010902003","Accomack","residential"
510010902003089,0,1,2,3,0,0.333333333333333,0.666666666666667,3,0,0,0,0,0,0,1,1,1,13,4.33333333333333,"51001","51001090200","510010902003","Accomack","residential"
510010902003101,2,0,0,2,1,0,0,2,0,0,0,0,0,0,2,0,0,28,14,"51001","51001090200","510010902003","Accomack","residential"
510010902003107,17,23,2,42,0.404761904761905,0.547619047619048,0.0476190476190476,17,22,0,2,0,1,6,11,9,3,8,0.19047619047619,"51001","51001090200","510010902003","Accomack","mixed"
510010902003117,7,3,1,11,0.636363636363636,0.272727272727273,0.0909090909090909,5,6,0,0,0,0,4,4,2,1,1,0.0909090909090909,"51001","51001090200","510010902003","Accomack","mixed"
510010902003123,0,1,1,2,0,0.5,0.5,0,2,0,0,0,0,0,2,0,0,60,30,"51001","51001090200","510010902003","Accomack","residential"
510010902003133,2,2,0,4,0.5,0.5,0,4,0,0,0,0,0,0,1,0,0,3,0.75,"51001","51001090200","510010902003","Accomack","mixed"
510010902003153,1,5,0,6,0.166666666666667,0.833333333333333,0,1,4,0,1,0,0,3,0,2,1,6,1,"51001","51001090200","510010902003","Accomack","mixed"
510010902003161,1,1,4,6,0.166666666666667,0.166666666666667,0.666666666666667,6,0,0,0,0,0,2,1,2,1,19,3.16666666666667,"51001","51001090200","510010902003","Accomack","residential"
510010903001009,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,4,4,"51001","51001090300","510010903001","Accomack","residential"
510010903001012,3,7,0,10,0.3,0.7,0,10,0,0,0,0,0,1,2,3,0,50,5,"51001","51001090300","510010903001","Accomack","residential"
510010903001018,33,22,5,60,0.55,0.366666666666667,0.0833333333333333,40,16,0,1,0,3,8,15,12,6,84,1.4,"51001","51001090300","510010903001","Accomack","mixed"
510010903001061,2,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,1,6,3,"51001","51001090300","510010903001","Accomack","residential"
510010903002012,0,0,2,2,0,0,1,2,0,0,0,0,0,0,1,0,1,48,24,"51001","51001090300","510010903002","Accomack","residential"
510010903002018,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,19,19,"51001","51001090300","510010903002","Accomack","residential"
510010903002040,1,1,0,2,0.5,0.5,0,2,0,0,0,0,0,0,2,0,0,3,1.5,"51001","51001090300","510010903002","Accomack","mixed"
510010903002067,3,2,1,6,0.5,0.333333333333333,0.166666666666667,6,0,0,0,0,0,0,6,0,0,6,1,"51001","51001090300","510010903002","Accomack","mixed"
510010903002070,3,12,12,27,0.111111111111111,0.444444444444444,0.444444444444444,25,2,0,0,0,0,3,7,7,4,6,0.222222222222222,"51001","51001090300","510010903002","Accomack","mixed"
510010903002087,0,5,2,7,0,0.714285714285714,0.285714285714286,7,0,0,0,0,0,1,1,3,1,33,4.71428571428571,"51001","51001090300","510010903002","Accomack","residential"
510010903003063,2,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0.5,"51001","51001090300","510010903003","Accomack","mixed"
510010903003071,1,6,1,8,0.125,0.75,0.125,6,2,0,0,0,0,4,1,1,1,32,4,"51001","51001090300","510010903003","Accomack","residential"
510010903003073,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,38,38,"51001","51001090300","510010903003","Accomack","residential"
510010904001009,5,0,0,5,1,0,0,5,0,0,0,0,0,1,0,2,0,29,5.8,"51001","51001090400","510010904001","Accomack","residential"
510010904001032,2,2,0,4,0.5,0.5,0,0,4,0,0,0,0,0,2,1,0,80,20,"51001","51001090400","510010904001","Accomack","residential"
510010904001038,1,2,1,4,0.25,0.5,0.25,4,0,0,0,0,0,0,2,1,1,1,0.25,"51001","51001090400","510010904001","Accomack","mixed"
510010904001041,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,11,11,"51001","51001090400","510010904001","Accomack","residential"
510010904001048,14,6,1,21,0.666666666666667,0.285714285714286,0.0476190476190476,14,7,0,0,0,0,7,8,3,0,76,3.61904761904762,"51001","51001090400","510010904001","Accomack","residential"
510010904001052,1,0,2,3,0.333333333333333,0,0.666666666666667,2,1,0,0,0,0,0,2,1,0,8,2.66666666666667,"51001","51001090400","510010904001","Accomack","residential"
510010904001062,8,6,3,17,0.470588235294118,0.352941176470588,0.176470588235294,11,5,0,1,0,0,4,3,5,3,48,2.82352941176471,"51001","51001090400","510010904001","Accomack","residential"
510010904002000,2,12,14,28,0.0714285714285714,0.428571428571429,0.5,24,4,0,0,0,0,2,8,10,4,9,0.321428571428571,"51001","51001090400","510010904002","Accomack","mixed"
510010904002024,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,25,25,"51001","51001090400","510010904002","Accomack","residential"
510010904002028,0,6,1,7,0,0.857142857142857,0.142857142857143,7,0,0,0,0,0,3,1,3,0,20,2.85714285714286,"51001","51001090400","510010904002","Accomack","residential"
510010904002031,21,19,5,45,0.466666666666667,0.422222222222222,0.111111111111111,26,18,0,1,0,0,11,9,7,5,2,0.0444444444444444,"51001","51001090400","510010904002","Accomack","employment"
510010904002059,1,1,0,2,0.5,0.5,0,1,1,0,0,0,0,1,0,1,0,3,1.5,"51001","51001090400","510010904002","Accomack","mixed"
510010904002077,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,"51001","51001090400","510010904002","Accomack","residential"
510010904002080,2,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,4,2,"51001","51001090400","510010904002","Accomack","residential"
510010904002081,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,19,19,"51001","51001090400","510010904002","Accomack","residential"
510010904002085,0,2,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,16,8,"51001","51001090400","510010904002","Accomack","residential"
510010904002089,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,4,4,"51001","51001090400","510010904002","Accomack","residential"
510010904002090,3,3,1,7,0.428571428571429,0.428571428571429,0.142857142857143,7,0,0,0,0,0,1,3,2,0,10,1.42857142857143,"51001","51001090400","510010904002","Accomack","mixed"
510010904002100,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,14,14,"51001","51001090400","510010904002","Accomack","residential"
510010904002110,1,1,0,2,0.5,0.5,0,0,2,0,0,0,0,1,1,0,0,16,8,"51001","51001090400","510010904002","Accomack","residential"
510010904002182,1,6,0,7,0.142857142857143,0.857142857142857,0,6,1,0,0,0,0,4,1,0,1,15,2.14285714285714,"51001","51001090400","510010904002","Accomack","residential"
510010904002185,0,2,1,3,0,0.666666666666667,0.333333333333333,3,0,0,0,0,0,0,0,3,0,3,1,"51001","51001090400","510010904002","Accomack","mixed"
510010904003039,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,46,46,"51001","51001090400","510010904003","Accomack","residential"
510010904003040,4,2,0,6,0.666666666666667,0.333333333333333,0,0,6,0,0,0,0,1,2,3,0,59,9.83333333333333,"51001","51001090400","510010904003","Accomack","residential"
510010904003042,44,50,29,123,0.357723577235772,0.40650406504065,0.235772357723577,47,72,0,3,0,1,20,30,33,17,140,1.13821138211382,"51001","51001090400","510010904003","Accomack","mixed"
510010904003061,0,3,1,4,0,0.75,0.25,3,1,0,0,0,0,0,1,0,1,NA,NA,"51001","51001090400","510010904003","Accomack",NA
510010904003064,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,7,7,"51001","51001090400","510010904003","Accomack","residential"
510010904003075,16,27,2,45,0.355555555555556,0.6,0.0444444444444444,19,24,0,2,0,0,7,8,11,6,4,0.0888888888888889,"51001","51001090400","510010904003","Accomack","mixed"
510010904003080,1,14,15,30,0.0333333333333333,0.466666666666667,0.5,18,7,0,4,0,1,4,8,10,7,NA,NA,"51001","51001090400","510010904003","Accomack",NA
510010904003083,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,23,11.5,"51001","51001090400","510010904003","Accomack","residential"
510010904003095,0,1,3,4,0,0.25,0.75,3,1,0,0,0,0,0,0,1,3,5,1.25,"51001","51001090400","510010904003","Accomack","mixed"
510010904003117,1,2,0,3,0.333333333333333,0.666666666666667,0,0,3,0,0,0,0,2,1,0,0,35,11.6666666666667,"51001","51001090400","510010904003","Accomack","residential"
510010904003118,0,1,1,2,0,0.5,0.5,0,2,0,0,0,0,0,1,1,0,10,5,"51001","51001090400","510010904003","Accomack","residential"
510010904004004,3,1,1,5,0.6,0.2,0.2,5,0,0,0,0,0,0,2,2,1,13,2.6,"51001","51001090400","510010904004","Accomack","residential"
510010904004030,8,15,5,28,0.285714285714286,0.535714285714286,0.178571428571429,2,26,0,0,0,0,5,8,9,4,2,0.0714285714285714,"51001","51001090400","510010904004","Accomack","mixed"
510010904004043,7,12,11,30,0.233333333333333,0.4,0.366666666666667,26,4,0,0,0,0,4,10,7,4,17,0.566666666666667,"51001","51001090400","510010904004","Accomack","mixed"
510010904004066,0,3,6,9,0,0.333333333333333,0.666666666666667,9,0,0,0,0,0,1,1,4,3,16,1.77777777777778,"51001","51001090400","510010904004","Accomack","mixed"
510010904004085,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004089,7,7,7,21,0.333333333333333,0.333333333333333,0.333333333333333,20,1,0,0,0,0,3,7,6,2,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004090,318,396,641,1355,0.234686346863469,0.292250922509225,0.473062730627306,959,372,1,14,0,9,112,333,366,400,4,0.0029520295202952,"51001","51001090400","510010904004","Accomack","employment"
510010904004092,3,6,0,9,0.333333333333333,0.666666666666667,0,6,3,0,0,0,0,2,3,1,1,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004094,18,54,59,131,0.137404580152672,0.412213740458015,0.450381679389313,104,23,0,4,0,0,7,34,35,31,55,0.419847328244275,"51001","51001090400","510010904004","Accomack","mixed"
510010904004095,0,6,0,6,0,1,0,6,0,0,0,0,0,0,1,3,2,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004096,9,25,18,52,0.173076923076923,0.480769230769231,0.346153846153846,43,9,0,0,0,0,4,9,19,14,7,0.134615384615385,"51001","51001090400","510010904004","Accomack","mixed"
510010904004097,2,15,10,27,0.0740740740740741,0.555555555555556,0.37037037037037,23,3,0,1,0,0,0,6,10,9,8,0.296296296296296,"51001","51001090400","510010904004","Accomack","mixed"
510010904004100,5,14,11,30,0.166666666666667,0.466666666666667,0.366666666666667,19,11,0,0,0,0,4,4,11,7,7,0.233333333333333,"51001","51001090400","510010904004","Accomack","mixed"
510010904004102,9,3,0,12,0.75,0.25,0,11,0,1,0,0,0,1,6,3,0,12,1,"51001","51001090400","510010904004","Accomack","mixed"
510010904004113,8,3,2,13,0.615384615384615,0.230769230769231,0.153846153846154,12,1,0,0,0,0,0,5,4,3,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004114,3,2,0,5,0.6,0.4,0,5,0,0,0,0,0,1,2,1,1,NA,NA,"51001","51001090400","510010904004","Accomack",NA
510010904004117,0,5,2,7,0,0.714285714285714,0.285714285714286,7,0,0,0,0,0,1,2,1,3,1,0.142857142857143,"51001","51001090400","510010904004","Accomack","mixed"
510010904004151,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,5,2.5,"51001","51001090400","510010904004","Accomack","residential"
510010904004153,1,8,0,9,0.111111111111111,0.888888888888889,0,8,1,0,0,0,0,2,2,0,2,6,0.666666666666667,"51001","51001090400","510010904004","Accomack","mixed"
510010904004157,2,1,0,3,0.666666666666667,0.333333333333333,0,0,3,0,0,0,0,0,1,0,0,24,8,"51001","51001090400","510010904004","Accomack","residential"
510010904004161,6,8,2,16,0.375,0.5,0.125,11,5,0,0,0,0,3,2,6,4,1,0.0625,"51001","51001090400","510010904004","Accomack","mixed"
